,Learning rate,Hidden layers,Layer width,Dropout rate,L2 penalty
0,0.002221,8,60,0.000,0.000002
1,0.011948,8,120,0.000,0.100000
2,0.002712,4,120,0.000,0.039834
3,0.000701,2,120,0.000,0.001644
4,0.005740,6,60,0.000,0.100000
5,0.032642,2,30,0.000,0.000162
6,0.100000,4,120,0.000,0.000001
7,0.009823,8,30,0.000,0.100000
8,0.005612,4,90,0.000,0.000014
9,0.000841,4,45,0.000,0.000023
10,0.012865,4,120,0.000,0.000001
11,0.100000,2,120,0.000,0.000001
12,0.073330,4,45,0.000,0.000001
13,0.003785,6,105,0.000,0.000001
14,0.008872,8,30,0.000,0.100000
